"topic_label","originaltopic","haldtopic","topic_use","topic_majortaxon","topic_discipline","year","proportion_present","sd_proportion_present","rollmean","start_year","start_year_proportion_present","norm_year","norm_prop"
"experimental design","topic142","topic114",1,NA,NA,1974,0.00908656145384983,0.00207510762770723,0.00911799326511559,1961,0.0133868808567604,13,0.678766140602581
"experimental design","topic142","topic114",1,NA,NA,1975,0.0120793787748059,0.00226895879691477,0.00897795847694577,1961,0.0133868808567604,14,0.902329594477999
"experimental design","topic142","topic114",1,NA,NA,1976,0.011301799916283,0.00216270659252031,0.00914163820394145,1961,0.0133868808567604,15,0.844244453746338
"experimental design","topic142","topic114",1,NA,NA,1977,0.0103435537495382,0.00194461212272703,0.010455631972717,1961,0.0133868808567604,16,0.772663465090502
"experimental design","topic142","topic114",1,NA,NA,1978,0.0140086206896552,0.0022274072632524,0.0113639829168264,1961,0.0133868808567604,17,1.04644396551724
"experimental design","topic142","topic114",1,NA,NA,1979,0.0110641067360885,0.00188695250134795,0.0117594919732742,1961,0.0133868808567604,18,0.826488773185809
"experimental design","topic142","topic114",1,NA,NA,1980,0.00989208633093525,0.00171345299053296,0.0113220334845,1961,0.0133868808567604,19,0.738938848920862
"experimental design","topic142","topic114",1,NA,NA,1981,0.0112637362637363,0.00174916498988672,0.0113144207539907,1961,0.0133868808567604,20,0.8414010989011
"experimental design","topic142","topic114",1,NA,NA,1982,0.0188577586206897,0.00223258004889005,0.013017261728221,1961,0.0133868808567604,21,1.40867456896552
"experimental design","topic142","topic114",1,NA,NA,1983,0.0144144144144144,0.00191227418373979,0.0130984204731728,1961,0.0133868808567604,22,1.07675675675675
"experimental design","topic142","topic114",1,NA,NA,1984,0.0151442307692308,0.00189349106782992,0.0139144452798013,1961,0.0133868808567604,23,1.13127403846154
"experimental design","topic142","topic114",1,NA,NA,1985,0.0175596578117965,0.00197070600973263,0.0154479595759735,1961,0.0133868808567604,24,1.3117064385412
"experimental design","topic142","topic114",1,NA,NA,1986,0.0148822745446468,0.0018045793253056,0.0161716672321556,1961,0.0133868808567604,25,1.11170590848511
"experimental design","topic142","topic114",1,NA,NA,1987,0.017237710151096,0.00189872166648195,0.0158476575382369,1961,0.0133868808567604,26,1.28765694828687
"experimental design","topic142","topic114",1,NA,NA,1988,0.0137945233683344,0.00167360514711956,0.0157236793290209,1961,0.0133868808567604,27,1.03045089561458
"experimental design","topic142","topic114",1,NA,NA,1989,0.0126913779210314,0.00158878439939067,0.015233108759381,1961,0.0133868808567604,28,0.948045930701044
"experimental design","topic142","topic114",1,NA,NA,1990,0.0157779109247054,0.00176109388108366,0.0148767593819628,1961,0.0133868808567604,29,1.17860994607549
"experimental design","topic142","topic114",1,NA,NA,1991,0.0136080136080136,0.00159277068667771,0.0146219071946362,1961,0.0133868808567604,30,1.01651861651861
"experimental design","topic142","topic114",1,NA,NA,1992,0.0130450321658327,0.00151681422508769,0.0137833715975835,1961,0.0133868808567604,31,0.974463902787701
"experimental design","topic142","topic114",1,NA,NA,1993,0.0152097902097902,0.00161821215402935,0.0140664249658747,1961,0.0133868808567604,32,1.13617132867133
"experimental design","topic142","topic114",1,NA,NA,1994,0.0114735289296837,0.00136345920019228,0.0138228551676051,1961,0.0133868808567604,33,0.857072611047371
"experimental design","topic142","topic114",1,NA,NA,1995,0.0145114479200258,0.0015185017076699,0.0135695625666692,1961,0.0133868808567604,34,1.08400515962593
"experimental design","topic142","topic114",1,NA,NA,1996,0.0132749817651349,0.00138232864261297,0.0135029561980935,1961,0.0133868808567604,35,0.991641137855575
"experimental design","topic142","topic114",1,NA,NA,1997,0.0117405341943058,0.00130490337886305,0.0132420566037881,1961,0.0133868808567604,36,0.877017904314642
"experimental design","topic142","topic114",1,NA,NA,1998,0.0114083933179411,0.00123763705013173,0.0124817772254183,1961,0.0133868808567604,37,0.852206980850199
"experimental design","topic142","topic114",1,NA,NA,1999,0.0133225676221235,0.00133001927058856,0.0128515849639062,1961,0.0133868808567604,38,0.995195801372624
"experimental design","topic142","topic114",1,NA,NA,2000,0.0121541246444272,0.00124596072991515,0.0123801203087865,1961,0.0133868808567604,39,0.90791311093871
"experimental design","topic142","topic114",1,NA,NA,2001,0.0128393250183419,0.00124492006417256,0.0122929889594279,1961,0.0133868808567604,40,0.959097578870138
"experimental design","topic142","topic114",1,NA,NA,2002,0.0109090909090909,0.00114362966270094,0.0121267003023849,1961,0.0133868808567604,41,0.814909090909089
"experimental design","topic142","topic114",1,NA,NA,2003,0.00973621646099853,0.00104475977509786,0.0117922649309964,1961,0.0133868808567604,42,0.727295369636589
"experimental design","topic142","topic114",1,NA,NA,2004,0.0109601052170101,0.00108998777844094,0.0113197724499737,1961,0.0133868808567604,43,0.818719859710653
"experimental design","topic142","topic114",1,NA,NA,2005,0.0102830488709848,0.00103870336122889,0.0109455572952852,1961,0.0133868808567604,44,0.768143750662563
"experimental design","topic142","topic114",1,NA,NA,2006,0.0119441935160092,0.00108836379856684,0.0107665309948187,1961,0.0133868808567604,45,0.892231255645885
"experimental design","topic142","topic114",1,NA,NA,2007,0.0111677115987461,0.00104009518005846,0.0108182551327497,1961,0.0133868808567604,46,0.834228056426332
"experimental design","topic142","topic114",1,NA,NA,2008,0.00894919168591224,0.000923826245606241,0.0106608501777325,1961,0.0133868808567604,47,0.668504618937643
"experimental design","topic142","topic114",1,NA,NA,2009,0.00754076727307003,0.000839898648105696,0.00997698258894448,1961,0.0133868808567604,48,0.56329531529833
"experimental design","topic142","topic114",1,NA,NA,2010,0.00839351942221355,0.000901289999542692,0.00959907669919022,1961,0.0133868808567604,49,0.626995900839351
"experimental ecology","topic80","topic115",1,NA,"ecology",1961,0.034805890227577,0.00670615216684875,0.0280797813701753,1961,0.034805890227577,0,1
"experimental ecology","topic80","topic115",1,NA,"ecology",1962,0.0428954423592493,0.00741849577766875,0.0338152679462905,1961,0.034805890227577,1,1.23241905547535
"experimental ecology","topic80","topic115",1,NA,"ecology",1963,0.0467762326169406,0.00750795757190497,0.0376910624148841,1961,0.034805890227577,2,1.3439171448021
"experimental ecology","topic80","topic115",1,NA,"ecology",1964,0.0392561983471074,0.00624194929741073,0.0383100350467534,1961,0.034805890227577,3,1.12786077558805
"experimental ecology","topic80","topic115",1,NA,"ecology",1965,0.0383141762452107,0.00594081603459959,0.040409587959217,1961,0.034805890227577,4,1.10079575596817
"experimental ecology","topic80","topic115",1,NA,"ecology",1966,0.0428816466552316,0.00593293067641291,0.0420247392447479,1961,0.034805890227577,5,1.23202269428685
"experimental ecology","topic80","topic115",1,NA,"ecology",1967,0.0486169321039397,0.0062266042255532,0.043169037193686,1961,0.034805890227577,6,1.39680185698627
"experimental ecology","topic80","topic115",1,NA,"ecology",1968,0.0524425287356322,0.00597482204776632,0.0443022964174243,1961,0.034805890227577,7,1.50671419098143
"experimental ecology","topic80","topic115",1,NA,"ecology",1969,0.0438194898626553,0.00523479717708094,0.0452149547205339,1961,0.034805890227577,8,1.25896765105398
